summary,theme,countries,lemmatized_tokens
 huawei has repeatedly said it does not make cars on its own but only helps other automakers make better vehicles. It has an existing partnership with changan as well as other companies including seres group.,Energy and Resources,['China'],"['huawei', 'repeatedly', 'said', 'make', 'car', 'help', 'automaker', 'make', 'better', 'vehicle', 'existing', 'partnership', 'changan', 'well', 'company', 'including', 'seres', 'group', 'huawei', 'seres', 'jointly', 'produce', 'aito', 'branded', 'car', 'including', 'model', 'huawei', 'also', 'built', 'sedan', 'chinese', 'automaker', 'chery', 'new', 'marquee', 'luxeed', 'intends', 'position', 'competitor', 'tesla', 'model', 'huawei', 'said', 'october', 'received', 'order', 'revamped', 'model', 'first', 'day', 'sale', 'would', 'put', 'aito', 'among', 'china', 'five', 'topselling', 'new', 'energy', 'vehicle', 'manufacturer', 'based', 'august', 'data']"
The european union still lacks very clear evidence of unfair practices to launch a formal probe into chinas wind power industry. china feared the eu would immediately look at punitive measures on its wind and hydrogen electrolyser industries.,Energy and Resources,['China'],"['european', 'union', 'still', 'lack', 'clear', 'evidence', 'unfair', 'practice', 'launch', 'formal', 'probe', 'china', 'wind', 'power', 'industry', 'become', 'cutprice', 'competitor', 'europe', 'eu', 'official', 'said', 'leaked', 'wind', 'energy', 'proposal', 'last', 'week', 'commission', 'said', 'would', 'scrutinise', 'foreign', 'subsidy', 'part', 'broader', 'action', 'plan', 'support', 'struggling', 'wind', 'industry', 'fast', 'losing', 'leadership', 'position', 'eu', 'official', 'said', 'china', 'feared', 'eu', 'would', 'immediately', 'look', 'punitive', 'measure', 'wind', 'hydrogen', 'electrolyser', 'industry', 'surprise', 'probe', 'automaker', 'announcement', 'investigation', 'ev', 'electric', 'vehicle', 'bit', 'shock', 'announced', 'political', 'speech', 'change', 'tune', 'traditional', 'openness', 'china', 'interpreted', 'foregone', 'conclusion', 'already', 'taking', 'measure', 'official', 'said']"
 geothermal energy has quite a lot of advantages over photovoltaic pv for instance it provides continuous and constant energy it is not subject to fluctuations.,Energy and Resources,['Singapore'],"['team', 'conducting', 'study', 'ntu', 'tumcreate', 'technical', 'university', 'munich', 'multidisciplinary', 'research', 'platform', 'singapore', 'alongside', 'infrastructure', 'consultancy', 'surbana', 'jurong', 'clean', 'energy', 'source', 'researcher', 'said', 'promising', 'finding', 'significant', 'breakthrough', 'could', 'provide', 'valuable', 'nonfossil', 'fuel', 'option', 'energy', 'resourcescarce', 'singapore', 'solar', 'power', 'viable', 'renewable', 'energy', 'source', 'nation', 'geothermal', 'could', 'fill', 'gap', 'solar', 'pose', 'said', 'geothermal', 'energy', 'quite', 'lot', 'advantage', 'photovoltaic', 'pv', 'instance', 'provides', 'continuous', 'constant', 'energy', 'subject', 'fluctuation', 'said', 'principal', 'scientist', 'tobias', 'massier', 'tumcreate']"
 hif intends to supply eneos with carbonneutral efuels produced in the united states chile and australia the companies said in a statement they have not yet signed a contract.,Energy and Resources,"['Australia', 'Chile', 'China', 'Japan']","['hif', 'intends', 'supply', 'eneos', 'carbonneutral', 'efuels', 'produced', 'united', 'state', 'chile', 'australia', 'company', 'said', 'statement', 'yet', 'signed', 'contract', 'hif', 'executive', 'director', 'meg', 'gentle', 'told', 'reuters', 'focus', 'talk', 'hifmade', 'egasoline', 'eneos', 'distribute', 'japan', 'also', 'consideration', 'using', 'hifproduced', 'emethanol', 'japan', 'marine', 'fuel', 'eneos', 'processing', 'efuel', 'refinery', 'japan', 'make', 'egasoline', 'carbon', 'neutral', 'aviation', 'fuel', 'gentle', 'said', 'market', 'around', 'world', 'shifting', 'electric', 'vehicle', 'china', 'making', 'rapid', 'shift', 'government', 'mandate', 'sale', 'ev', 'cut', 'carbon', 'dioxide', 'co', 'emission']"
Militant groups in the niger delta claim that the impoverished region has not benefitted from its natural resources. A previouslyunknown group calling itself the new delta avengers pledged to resurrect the spirit of insurgency.,Energy and Resources| Legal and Crime Stories,"['Niger', 'Nigeria']","['militant', 'niger', 'deltaled', 'group', 'called', 'niger', 'delta', 'avengersrepeatedly', 'attacked', 'pipeline', 'oil', 'facility', 'leading', 'regular', 'shutdown', 'slashing', 'production', 'half', 'combined', 'global', 'fall', 'commodity', 'price', 'attack', 'pushed', 'nigeria', 'recession', 'august', 'attack', 'abated', 'earlier', 'june', 'previouslyunknown', 'group', 'calling', 'new', 'delta', 'avenger', 'pledged', 'resurrect', 'spirit', 'insurgency', 'demand', 'better', 'deal', 'people', 'bloody', 'attack', 'destruction', 'oil', 'asset', 'reuters', 'reported', 'militant', 'group', 'niger', 'delta', 'claim', 'impoverished', 'region', 'benefitted', 'natural', 'resource']"
 taylor swift took a hour mile flight this weekend from tokyo japan to las vegas nevada to watch kansas city chiefs tight end travis kelce win the super bowl. The pop star allegedly produced tons of co emissions in three months while commuting.,Environment and Climate Topics,['Japan'],"['taylor', 'swift', 'took', 'hour', 'mile', 'flight', 'weekend', 'tokyo', 'japan', 'la', 'vega', 'nevada', 'watch', 'kansa', 'city', 'chief', 'tight', 'end', 'travis', 'kelce', 'win', 'super', 'bowl', 'san', 'francisco', 'er', 'latest', 'private', 'jet', 'flight', 'travel', 'habit', 'gained', 'criticism', 'due', 'jet', 'inevitable', 'release', 'carbon', 'dioxide', 'emission', 'atmosphere', 'pop', 'star', 'allegedly', 'produced', 'ton', 'co', 'emission', 'three', 'month', 'commuting', 'visit', 'kelce', 'newsweek', 'reported', 'taylor', 'swift', 'travel', 'habit', 'criticised', 'swift', 'carbon', 'emission', 'extreme', 'polluting', 'atmosphere', 'leah', 'thomas', 'author', 'intersectional', 'environmentalist', 'study', 'intersection', 'environmentalism', 'privilege', 'told', 'bbc', 'travel', 'carbon', 'emission', 'one', 'leading', 'cause', 'climate', 'crisis', 'carbon', 'atmosphere', 'warms', 'planet', 'contributes', 'extreme', 'weather', 'event']"
 britains prince william has criticised some of the worlds richest men for using their wealth to fund a new space race and space tourism. William voiced his disapproval a day after the former star trek actor william shatner became the oldest man to fly to space.,environment and climate topics,[],"['britain', 'prince', 'william', 'criticised', 'world', 'richest', 'men', 'using', 'wealth', 'fund', 'new', 'space', 'race', 'space', 'tourism', 'rather', 'trying', 'fix', 'problem', 'planet', 'earth', 'instead', 'comment', 'bbc', 'aired', 'thursday', 'oct', 'william', 'voiced', 'disapproval', 'day', 'former', 'star', 'trek', 'actor', 'william', 'shatner', 'became', 'oldest', 'man', 'fly', 'space', 'rocket', 'built', 'amazon', 'founder', 'jeff', 'bezos', 'need', 'world', 'greatest', 'brain', 'mind', 'fixed', 'trying', 'repair', 'planet', 'trying', 'find', 'next', 'place', 'go', 'live', 'said', 'william', 'secondinline', 'british', 'throne']"
Japan has maintained that the treated radioactive wastewater is well within international safety standards. hong kong said it is reasonable to be worried we are taking a more conservative and safer approach.,Environment and Climate Topics,['Japan'],"['japan', 'maintained', 'treated', 'radioactive', 'wastewater', 'well', 'within', 'international', 'safety', 'standard', 'hong', 'kong', 'said', 'reasonable', 'worried', 'taking', 'conservative', 'safer', 'approach', 'assure', 'hong', 'kongers', 'japanese', 'food', 'import', 'safe', 'consume', 'peace', 'mind', 'said', 'hong', 'kongs', 'secretary', 'environment', 'ecology', 'tse', 'chinwan', 'think', 'thats', 'best', 'measure', 'japanese', 'restaurant', 'well', 'maintaining', 'relation', 'hong', 'kong', 'japan', 'food', 'trading', 'hong', 'kong', 'lift', 'ban', 'permanent', 'secretary', 'environment', 'ecology', 'food', 'vivian', 'lau', 'said', 'basket', 'factor', 'consider', 'example', 'discharge', 'system', 'claimed', 'japan', 'working', 'normally', 'look', 'radiation', 'level', 'seawater', 'aquatic', 'product']"
There are also external forces which even china as a superpower cannot control said dr lim including the covid pandemic potential global recession and the upcoming us midterm election. the biden administration had released a national security strategy last week that focused on outcompeting china and restraining russia.,Environment and Climate Topics,['China'],"['wording', 'kept', 'ambiguous', 'enough', 'vague', 'enough', 'report', 'card', 'also', 'reserve', 'certain', 'space', 'order', 'maneuver', 'international', 'environment', 'china', 'finding', 'particularly', 'dynamic', 'environment', 'said', 'dr', 'lim', 'also', 'external', 'force', 'even', 'china', 'superpower', 'control', 'said', 'dr', 'lim', 'including', 'covid', 'pandemic', 'potential', 'global', 'recession', 'upcoming', 'u', 'midterm', 'election', 'china', 'continues', 'facing', 'tension', 'west', 'biden', 'administration', 'released', 'national', 'security', 'strategy', 'last', 'week', 'focused', 'outcompeting', 'china', 'restraining', 'russia', 'highlighted', 'china', 'competitor', 'intent', 'reshape', 'international', 'order', 'increasingly', 'economic', 'diplomatic', 'military', 'technological', 'power']"
 eni's use of a palm oil byproduct in its biofuel output showed it was reneging on previous commitments palm oil cultivation results in excessive deforestation. european environmental lobby group transport environment te criticised eni enimi opens new tab in report.,Environment and Climate Topics| Energy and Resources,[],"['european', 'environmental', 'lobby', 'group', 'transport', 'environment', 'te', 'criticised', 'eni', 'enimi', 'open', 'new', 'tab', 'report', 'monday', 'saying', 'italian', 'energy', 'group', 'use', 'palm', 'oil', 'byproduct', 'biofuel', 'output', 'showed', 'reneging', 'previous', 'commitment', 'palm', 'oil', 'cultivation', 'result', 'excessive', 'deforestation', 'european', 'commission', 'said', 'telling', 'member', 'country', 'cap', 'use', 'biofuel', 'production', 'phase', 'eni', 'pledged', 'become', 'palmoil', 'free', 'refinery', 'october', 'said', 'met', 'goal', 'ahead', 'schedule']"
Su wenqiang admitted to charges of money laundering possessing proceeds from illegal remote gambling offences and lying to get work passes for himself and his wife more than s billion us billion in assets have been seized or frozen in relation to the case.,Financial Policies and Taxation ,"['Cambodia', 'Singapore']","['first', 'suspect', 'plead', 'guilty', 'singapore', 'largest', 'money', 'laundering', 'case', 'convicted', 'sentenced', 'month', 'jail', 'district', 'court', 'tuesday', 'apr', 'su', 'wenqiang', 'admitted', 'charge', 'money', 'laundering', 'possessing', 'proceeds', 'illegal', 'remote', 'gambling', 'offence', 'lying', 'get', 'work', 'pass', 'wife', 'billion', 'u', 'billion', 'asset', 'seized', 'frozen', 'relation', 'case', 'likely', 'make', 'one', 'largest', 'money', 'laundering', 'operation', 'world', 'su', 'among', 'suspect', 'arrested', 'simultaneous', 'police', 'raid', 'last', 'august', 'cambodian', 'national', 'whose', 'passport', 'state', 'fujian', 'nabbed', 'good', 'class', 'bungalow', 'along', 'lewis', 'road', 'bukit', 'timah']"
The purchase of a soundproof booth for environmental protection agency administrator scott pruitts office violated federal law. The government accountability office concluded monday that the purchase violated the antideficiency act.,Financial Policies and Taxation ,[],"['purchase', 'soundproof', 'booth', 'environmental', 'protection', 'agency', 'administrator', 'scott', 'pruitts', 'office', 'violated', 'federal', 'law', 'government', 'accountability', 'office', 'concluded', 'monday', 'gao', 'government', 'spending', 'watchdog', 'report', 'congress', 'cite', 'requirement', 'executive', 'branch', 'agency', 'must', 'notify', 'congress', 'spending', 'certain', 'office', 'improvement', 'epa', 'violated', 'statutory', 'requirement', 'also', 'conclude', 'epa', 'violated', 'antideficiency', 'act', 'report', 'violation', 'congress', 'president', 'required', 'law', 'gao', 'said', 'statement', 'one', 'attorney', 'julie', 'matta', 'gao', 'conclusion', 'outlined', 'letter', 'congressional', 'democrat', 'relate', 'legality', 'purchase', 'whether', 'booth', 'appropriate', 'use', 'taxpayer', 'dollar']"
The monetary authority of singapore has fined banks dbs ocbc citibank and insurer swiss life a total of s million us million for breaching its requirements on antimoney laundering and countering terrorism financing.,Financial Policies and Taxation ,['Singapore'],"['monetary', 'authority', 'singapore', 'ma', 'fined', 'bank', 'db', 'ocbc', 'citibank', 'insurer', 'swiss', 'life', 'total', 'million', 'u', 'million', 'breaching', 'requirement', 'antimoney', 'laundering', 'countering', 'terrorism', 'financing', 'breach', 'identified', 'ma', 'examined', 'financial', 'institution', 'following', 'news', 'irregularity', 'relating', 'wirecard', 'ag', 'financial', 'statement', 'alleged', 'involvement', 'singaporebased', 'individual', 'entity', 'financial', 'institution', 'found', 'inadequate', 'money', 'laundering', 'terrorism', 'financing', 'control', 'dealt', 'people', 'involved', 'transaction', 'link', 'wirecard', 'ag', 'related', 'party', 'ma', 'issued', 'fine', 'million', 'db', 'ocbc', 'citibank', 'swiss', 'life']"
 telenor shares were down per cent at gmt lagging a flat oslo benchmark index adjusted earnings before interest tax depreciation and amortisation ebitda fell per cent yearonyear.,Financial Policies and Taxation,"['Myanmar', 'Malaysia']","['telenor', 'share', 'per', 'cent', 'gmt', 'lagging', 'flat', 'oslo', 'benchmark', 'index', 'adjusted', 'earnings', 'interest', 'tax', 'depreciation', 'amortisation', 'ebitda', 'fell', 'per', 'cent', 'yearonyear', 'billion', 'crown', 'line', 'analyst', 'forecast', 'billion', 'crown', 'telenor', 'reiterated', 'fullyear', 'guidance', 'overall', 'organic', 'revenue', 'earnings', 'remain', 'unchanged', 'yearonyear', 'excluding', 'myanmar', 'impact', 'repeated', 'capital', 'expenditure', 'would', 'amount', 'per', 'cent', 'oer', 'cent', 'sale', 'company', 'serf', 'million', 'customer', 'nine', 'country', 'across', 'europe', 'asia', 'net', 'gain', 'million', 'since', 'start', 'year', 'last', 'month', 'announced', 'plan', 'merge', 'malaysian', 'unit', 'competitor', 'axiata', 'seeking', 'form', 'new', 'market', 'leader']"
 core inflation in japans capital slowed in march and factory output unexpectedly slid in the previous month heightening uncertainty on how soon the bank of japan can raise interest rates again. The slew of weak signs in the economy could prompt the central bank to go slow in its next rate hike and give investors an excuse to continue selling yen.,Financial Policies and Taxation,['Japan'],"['tokyo', 'core', 'inflation', 'japan', 'capital', 'slowed', 'march', 'factory', 'output', 'unexpectedly', 'slid', 'previous', 'month', 'heightening', 'uncertainty', 'soon', 'bank', 'japan', 'raise', 'interest', 'rate', 'exiting', 'radical', 'monetary', 'stimulus', 'slew', 'weak', 'sign', 'economy', 'could', 'prompt', 'central', 'bank', 'go', 'slow', 'next', 'rate', 'hike', 'give', 'investor', 'excuse', 'continue', 'selling', 'yen', 'keeping', 'pressure', 'japanese', 'authority', 'intervene', 'market', 'prop', 'currency', 'factory', 'output', 'weaker', 'expected', 'said', 'masato', 'koike', 'economist', 'sompo', 'institute', 'plus', 'given', 'weakness', 'production', 'boj', 'may', 'find', 'hard', 'raise', 'interest', 'rate', 'soon']"
Former boj board member criticises governor uedas market messaging tokyo dec. Bank of Japan governor kazuo ueda must change his communication style.,Financial Policies and Taxation| Corporate and Business Topics,['Japan'],"['exboj', 'board', 'member', 'criticises', 'governor', 'uedas', 'market', 'messaging', 'tokyo', 'dec', 'reuters', 'bank', 'japan', 'governor', 'kazuo', 'ueda', 'must', 'change', 'communication', 'style', 'confusing', 'market', 'believing', 'exit', 'ultraloose', 'monetary', 'policy', 'imminent', 'former', 'boj', 'board', 'member', 'takako', 'masai', 'told', 'reuters', 'less', 'year', 'job', 'ueda', 'already', 'wrongfooted', 'market', 'twice', 'comment', 'policy', 'outlook', 'including', 'dec', 'elaborated', 'boj', 'could', 'ending', 'negative', 'interest', 'rate', 'policy', 'bond', 'yield', 'yen', 'surged', 'comment', 'made', 'parliament', 'fuelling', 'market', 'expectation', 'boj', 'could', 'end', 'negative', 'interest', 'rate', 'early', 'december', 'boj', 'made', 'change', 'month', 'ultraloose', 'policy', 'dovish', 'guidance']"
Tompolo is wanted by the nigerian economic and financial crimes commission for charges of money laundering conspiracy and theft. Despite the bounty on his head he is linked to a number of businesses including some that enjoy government contracts.,Financial Policies and Taxation| Legal and Crime Stories,"['Niger', 'Nigeria', 'Norway']","['attack', 'perpetrated', 'tompolos', 'movement', 'emancipation', 'niger', 'delta', 'mend', 'saw', 'oil', 'production', 'nigeria', 'cut', 'third', 'dozen', 'foreign', 'office', 'worker', 'taken', 'hostage', 'killed', 'tompolo', 'claim', 'changed', 'way', 'present', 'wanted', 'nigerian', 'economic', 'financial', 'crime', 'commission', 'charge', 'money', 'laundering', 'conspiracy', 'theft', 'despite', 'bounty', 'head', 'linked', 'number', 'businessesincluding', 'enjoy', 'government', 'contract', 'one', 'company', 'global', 'west', 'vessel', 'specialist', 'gwvs', 'heart', 'million', 'deal', 'million', 'buy', 'seven', 'former', 'gunshipsincluding', 'tonne', 'knm', 'hortenfrom', 'norway', 'via', 'ukbased', 'casglobal', 'deal', 'took', 'place', 'subject', 'major', 'new', 'report', 'campaign', 'group', 'corruption', 'watch']"
 seagate technology has agreed to pay a million penalty in a settlement with us authorities for shipping over billion worth of hard disk drives to chinas huawei in violation of us export control laws.,Government Actions and Regulations,['China'],"['seagate', 'technology', 'agreed', 'pay', 'million', 'penalty', 'settlement', 'u', 'authority', 'shipping', 'billion', 'worth', 'hard', 'disk', 'drive', 'china', 'huawei', 'violation', 'u', 'export', 'control', 'law', 'department', 'commerce', 'said', 'wednesday', 'seagate', 'stx', 'sold', 'drive', 'huawei', 'august', 'september', 'despite', 'august', 'rule', 'restricted', 'sale', 'certain', 'foreign', 'item', 'made', 'u', 'technology', 'company', 'huawei', 'placed', 'entity', 'list', 'u', 'trade', 'blacklist', 'reduce', 'sale', 'u', 'good', 'company', 'amid', 'national', 'security', 'foreign', 'policy', 'concern', 'penalty', 'represents', 'latest', 'string', 'action', 'washington', 'keep', 'sophisticated', 'technology', 'china', 'may', 'support', 'military', 'enable', 'human', 'right', 'abuse', 'otherwise', 'threaten', 'u', 'security']"
The aviation regulator increased the mandatory weekly rest period for flight crew to hours from hours a decision that followed a review of pilot fatigue data after an indigo inglns pilot collapsed and died last year.,Government Actions and Regulations ,['India'],"['india', 'air', 'safety', 'watchdog', 'fined', 'tata', 'groupowned', 'air', 'india', 'million', 'rupee', 'violating', 'flight', 'duty', 'time', 'limitation', 'fatigue', 'management', 'system', 'flight', 'crew', 'january', 'aviation', 'regulator', 'increased', 'mandatory', 'weekly', 'rest', 'period', 'flight', 'crew', 'hour', 'hour', 'decision', 'followed', 'review', 'pilot', 'fatigue', 'data', 'indigo', 'inglns', 'open', 'new', 'tab', 'pilot', 'collapsed', 'died', 'august', 'last', 'year', 'flight', 'air', 'india', 'provide', 'adequate', 'weekly', 'rest', 'adequate', 'rest', 'ultralong', 'flight', 'adequate', 'rest', 'layover', 'flight', 'crew', 'thus', 'violating', 'revised', 'rule', 'directorate', 'general', 'civil', 'aviation', 'dgca', 'said', 'friday']"
Enis unit plenitudeenimi and enel eneimi fined more than million euros million for raising charges during a ban on unilateral price hikes. enel was ordered to pay the maximum fine of million euros.,Government Actions and Regulations,['Italy'],"['six', 'italian', 'energy', 'provider', 'including', 'enis', 'unit', 'plenitudeenimi', 'enel', 'eneimi', 'fined', 'million', 'euro', 'million', 'raising', 'charge', 'ban', 'unilateral', 'price', 'hike', 'italy', 'antitrust', 'agency', 'agcm', 'said', 'billing', 'took', 'place', 'august', 'june', 'government', 'banned', 'unilateral', 'price', 'increase', 'gas', 'electricity', 'supply', 'agcm', 'said', 'press', 'release', 'wednesday', 'enel', 'ordered', 'pay', 'maximum', 'fine', 'million', 'euro', 'eni', 'ordered', 'pay', 'million', 'euro', 'raising', 'price', 'million', 'customer', 'without', 'advance', 'warning', 'regional', 'utility', 'acea', 'acemi', 'dolomiti', 'energia', 'fined', 'euro', 'euro', 'respectively', 'giving', 'customer', 'insufficient', 'advance', 'notice', 'price', 'increase']"
The european union imposed sanctions on several senior officials and armed forces officers in myanmar. A military takeover last year set off violence that threatens to destabilise other parts of southeast asia the eu froze the assets of people including investment and foreign economic relations minister kan zaw.,Government Actions and Regulations ,['Myanmar'],"['european', 'union', 'tuesday', 'nov', 'imposed', 'sanction', 'several', 'senior', 'official', 'armed', 'force', 'officer', 'myanmar', 'military', 'takeover', 'last', 'year', 'set', 'violence', 'threatens', 'destabilise', 'part', 'southeast', 'asia', 'eu', 'froze', 'asset', 'people', 'including', 'investment', 'foreign', 'economic', 'relation', 'minister', 'kan', 'zaw', 'chief', 'justice', 'myanmar', 'supreme', 'court', 'top', 'military', 'brass', 'businesspeople', 'linked', 'armed', 'force', 'banned', 'traveling', 'europe', 'nation', 'bloc', 'also', 'froze', 'asset', 'europe', 'myanmar', 'state', 'administration', 'council', 'eu', 'headquarters', 'said', 'statement', 'sac', 'set', 'february', 'following', 'military', 'coup', 'responsible', 'policy', 'activity', 'undermine', 'democracy', 'rule', 'law']"
 european union foreign ministers imposed new sanctions on monday nov on iranian clerics senior officials and top state media employees over the brutal crackdown on protesters.,Government Actions and Regulations ,"['Oman', 'Ukraine']","['european', 'union', 'foreign', 'minister', 'imposed', 'new', 'sanction', 'monday', 'nov', 'iranian', 'cleric', 'senior', 'official', 'top', 'state', 'medium', 'employee', 'brutal', 'crackdown', 'protester', 'also', 'expert', 'believe', 'linked', 'supplying', 'russia', 'explosive', 'drone', 'use', 'war', 'ukraine', 'minister', 'imposed', 'ban', 'travelling', 'europe', 'froze', 'asset', 'individual', 'also', 'froze', 'asset', 'islamic', 'republic', 'iran', 'broadcasting', 'saying', 'medium', 'outlet', 'mouthpiece', 'violent', 'response', 'recent', 'demonstration', 'iran', 'iranian', 'woman', 'men', 'protested', 'government', 'severe', 'restriction', 'daily', 'life', 'since', 'late', 'september', 'death', 'yearold', 'mahsa', 'amini', 'arrested', 'allegedly', 'violating', 'islamic', 'republic', 'strict', 'dress', 'code']"
World bank president david malpass announced plans to step down wednesday finishing his fourth year. malpass had sought to increase economic growth alleviate poverty improve living standards and reduce government debt burdens.,Government Actions and Regulations| environment and climate topics,[],"['world', 'bank', 'president', 'david', 'malpass', 'announced', 'plan', 'step', 'wednesday', 'finishing', 'fourth', 'year', 'amid', 'persistent', 'criticism', 'treasury', 'secretary', 'janet', 'l', 'yellen', 'white', 'house', 'climate', 'adviser', 'john', 'f', 'kerry', 'malpasss', 'level', 'commitment', 'slowing', 'climate', 'change', 'immediately', 'clear', 'replace', 'malpass', 'world', 'bank', 'lends', 'billion', 'dollar', 'developing', 'country', 'plan', 'step', 'june', 'even', 'though', 'term', 'run', 'april', 'malpass', 'appointed', 'president', 'donald', 'trump', 'sought', 'increase', 'economic', 'growth', 'alleviate', 'poverty', 'improve', 'living', 'standard', 'reduce', 'government', 'debt', 'burden', 'according', 'statement', 'released', 'bank']"
More people and companies in russia have been hit by us sanctions in the last decade than any country other than iran. with russia again massing troops and military equipment near the border with ukraine the us and its allies are weighing further sanctions.,Government Actions and Regulations| International Relations and Trade ,['Ukraine'],"['since', 'u', 'imposed', 'travel', 'ban', 'asset', 'freeze', 'economic', 'restriction', 'hundred', 'russian', 'individual', 'company', 'part', 'multinational', 'effort', 'punish', 'president', 'vladimir', 'putin', 'government', 'alleged', 'troublemaking', 'beyond', 'border', 'online', 'russia', 'massing', 'troop', 'military', 'equipment', 'near', 'border', 'ukraine', 'u', 'ally', 'weighing', 'sanction', 'case', 'conflict', 'escalates', 'u', 'sanction', 'place', 'russia', 'people', 'company', 'russia', 'hit', 'u', 'sanction', 'last', 'decade', 'country', 'iran', 'including', 'business', 'magnate', 'close', 'political', 'ally', 'putin', 'banned', 'business', 'u', 'company', 'individual', 'making', 'transaction', 'dollar', 'socalled', 'sectoral', 'sanction', 'corporate', 'titan', 'rosneft', 'gazprom', 'group', 'sberbank', 'vtb', 'group', 'limit', 'ability', 'business', 'abroad', 'restriction', 'added', 'president', 'joe', 'biden', 'stop', 'u', 'financial', 'institution', 'participating', 'primary', 'market', 'russian', 'sovereign', 'debt']"
At present uruguayan beef which constituted twothirds of those exports to china is subject to a per cent tariff by comparison other major beef exporters australia and new zealand which have ftas with china pay tariffs at per cent and per cent uruguay came close to signing an fta with the united states in but its government at the time rejected the deal over fears of expulsion from mercosur.,Government Actions and Regulations| international relations and trade ,"['Australia', 'China', 'Uruguay']","['china', 'accounted', 'per', 'cent', 'uruguay', 'export', 'united', 'nation', 'comtrade', 'data', 'show', 'present', 'uruguayan', 'beef', 'constituted', 'twothirds', 'export', 'china', 'subject', 'per', 'cent', 'tariff', 'comparison', 'major', 'beef', 'exporter', 'australia', 'new', 'zealand', 'ftas', 'china', 'pay', 'tariff', 'per', 'cent', 'per', 'cent', 'uruguay', 'came', 'close', 'signing', 'fta', 'united', 'state', 'government', 'time', 'eventually', 'rejected', 'deal', 'fear', 'expulsion', 'mercosur', 'according', 'study', 'conducted', 'national', 'meat', 'institute', 'uruguay', 'china', 'sign', 'fta', 'uruguay', 'meat', 'industry', 'implement', 'per', 'cent', 'preferential', 'tariff', 'reduce', 'tariff', 'million']"
Taiwan has also applied to join the country comprehensive and progressive agreement for transpacific partnership or cptpp. bilateral trade between taiwan and britain totalled billion pounds us billion in.,Government Actions and Regulations| international relations and trade ,['Canada'],"['taiwan', 'also', 'applied', 'join', 'country', 'comprehensive', 'progressive', 'agreement', 'transpacific', 'partnership', 'cptpp', 'britain', 'formally', 'signed', 'treaty', 'july', 'given', 'status', 'newest', 'member', 'cptpp', 'improving', 'economic', 'relation', 'uk', 'also', 'crucial', 'taiwan', 'application', 'join', 'landmark', 'trade', 'pact', 'deng', 'said', 'bilateral', 'trade', 'taiwan', 'britain', 'totalled', 'billion', 'pound', 'u', 'billion', 'according', 'british', 'government', 'last', 'month', 'canada', 'taiwan', 'completed', 'talk', 'bilateral', 'deal', 'boost', 'foreign', 'investment', 'august', 'u', 'president', 'joe', 'biden', 'signed', 'legislation', 'implementing', 'st', 'century', 'trade', 'initiative', 'united', 'state', 'taiwan']"
The worlds two biggest economies used to be each others largest trading partners. Both governments publicly oppose decoupling. china is now trading more with southeast asia and the us with neighbouring canada and mexico.,Government Actions and Regulations| international relations and trade ,"['Canada', 'China', 'Mexico']","['immoral', 'unsustainable', 'ultimately', 'affect', 'overall', 'interest', 'international', 'community', 'world', 'two', 'biggest', 'economy', 'used', 'others', 'largest', 'trading', 'partner', 'government', 'publicly', 'oppose', 'decoupling', 'china', 'trading', 'southeast', 'asia', 'u', 'neighbouring', 'canada', 'mexico', 'china', 'imposed', 'export', 'curb', 'number', 'critical', 'mineral', 'graphite', 'provides', 'per', 'cent', 'global', 'supply', 'citing', 'national', 'security', 'concern', 'u', 'opposes', 'export', 'control', 'announced', 'china', 'gallium', 'germanium', 'metal', 'used', 'produce', 'semiconductor', 'electronics']"
The bridge was built for billion s billion under turkish president recep tayyip erdogan to link the citys european and asian sides. It adds to a series of potential deals between turkey and the united arab emirates.,Government Actions and Regulations| international relations and trade| infrastructure and development,[],"['bridge', 'built', 'billion', 'billion', 'turkish', 'president', 'recep', 'tayyip', 'erdogan', 'link', 'city', 'european', 'asian', 'side', 'add', 'series', 'potential', 'deal', 'turkey', 'united', 'arab', 'emirate', 'abu', 'dhabi', 'capital', 'uae', 'pledged', 'u', 'billion', 'july', 'support', 'turkey', 'battered', 'economy', 'ankara', 'arab', 'gulf', 'state', 'put', 'aside', 'year', 'animosity', 'uae', 'government', 'statement', 'bloomberg', 'said', 'hoped', 'bilateral', 'trade', 'turkey', 'would', 'double', 'u', 'billion', 'key', 'sector', 'investment', 'included', 'energy', 'logistics', 'tourism', 'agriculture']"
Four people killed during violence orchestrated by supporters of one of the countrys gang leaders who is wanted for extradition by the us. Government declared a state of emergency on sunday after supporters of christopher dudus coke attacked four police stations.,Government Actions and Regulations| Legal and Crime Stories,['Jamaica'],"['large', 'area', 'jamaica', 'capital', 'kingston', 'barricaded', 'security', 'force', 'last', 'night', 'four', 'people', 'killed', 'violence', 'orchestrated', 'supporter', 'one', 'country', 'gang', 'leader', 'wanted', 'extradition', 'u', 'government', 'declared', 'state', 'emergency', 'sunday', 'supporter', 'christopher', 'dudus', 'coke', 'wanted', 'u', 'drug', 'weapon', 'trafficking', 'attacked', 'four', 'police', 'station', 'city', 'burning', 'one', 'ground', 'least', 'two', 'police', 'officer', 'one', 'soldier', 'one', 'civilian', 'killed', 'several', 'others', 'wounded', 'two', 'day', 'violence', 'last', 'night', 'automatic', 'rifle', 'fire', 'continued', 'dark', 'section', 'city', 'remained', 'barricaded', 'army', 'truck', 'attempting', 'clear', 'roadblock', 'red', 'hill', 'district']"
